Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,card_id,device_type,channel,corridor,merchant_category,account_age_days,device_change,corridor_new,n_clicks_session,session_duration_s,txn_gap_s,card_txn_rank,txn_count_1h,fraud_mode,Class
121494,0.432263,-0.740709,0.243933,-0.531941,1.8692,-0.087285,-1.077395,1.688405,0.073124,-1.407211,-1.941706,1.936722,1.038475,1.590563,-0.068894,-0.261322,1.240775,0.236698,0.15562,1.560301,-0.327524,-0.341924,-0.589419,-0.101514,1.230443,-1.799839,1.387693,0.269575,27.29,46041,web_mobile,web,AU->PH,airtime_topup,326,0,0,6,116.1,31017.0,7,1,none,0
160209,2.035671,-0.247841,0.054208,-0.130926,0.578817,0.011365,0.964906,1.747027,0.356571,0.382589,-0.985625,-0.653659,0.021989,2.537895,1.434301,-1.127713,1.481736,0.183861,0.373224,0.926349,0.662682,1.684912,-0.613063,2.981429,1.038751,-0.757793,-1.121748,-1.083229,58.49,46549,android_app,app,CA->IN,airtime_topup,312,0,0,12,237.7,59054.0,7,1,none,0
23617,0.990056,-1.61902,2.716162,-0.391396,-1.822369,1.754079,0.103279,1.050015,-0.731509,0.63925,0.528701,-2.125704,1.291143,0.679334,-1.010556,0.342371,-0.256139,-2.106307,0.578919,0.533853,1.097445,-0.704692,-0.154262,0.961456,-0.773709,0.886331,-1.122158,2.272749,18.75,16457,web_desktop,web,US->PH,p2p_transfer,642,0,0,7,22.6,14266.0,2,1,none,0
168536,-0.729253,0.630147,0.361152,2.014271,-1.262793,-1.976391,-1.623964,-0.256688,0.04151,1.127296,-0.032947,-0.694115,-1.01852,0.264778,0.42426,0.748091,-0.23932,-0.095389,1.691161,-1.040485,-0.68325,0.832245,-1.144977,-1.86864,-0.59014,0.211675,-0.093651,0.544383,12.57,27237,web_desktop,web,US->PH,airtime_topup,1216,0,0,7,150.7,42809.0,11,1,none,0
70449,1.009748,-0.45712,-0.256721,0.102988,-0.362381,-2.032578,0.338633,-0.492984,0.13409,-0.311584,0.926167,0.728316,-0.399529,0.26519,-0.285002,0.291913,0.411016,-0.174972,-2.129258,-0.396235,-0.187239,-0.023102,-0.007087,-0.076545,1.858507,-0.222555,-0.289345,-1.277728,14.63,31781,web_desktop,web,AU->PH,cash_pickup,444,0,0,6,138.1,16159.0,5,1,none,0
57365,-0.314278,-1.682152,-0.082718,2.183217,0.141966,0.666119,0.301711,1.294009,1.55689,-0.127178,0.449688,1.989321,-0.251555,0.520462,1.446878,1.381167,1.748132,1.108464,-1.160851,1.136828,-0.105285,0.679129,1.142571,0.313879,-2.163386,1.083319,0.151447,-0.981224,10.51,2137,web_mobile,web,US->NG,bill_pay,389,0,0,10,188.1,3236.0,4,2,none,0
131120,-0.259408,0.070319,-1.012642,-1.202018,0.320957,0.591208,0.473789,-0.249175,1.526795,-0.653944,0.322963,-0.944436,0.790181,0.680248,1.099512,-1.098424,-0.0702,-0.560318,-0.625998,-1.594361,2.123503,-0.656508,0.251063,-0.083084,-0.655999,-1.290445,-0.921984,-0.351437,51.01,9389,web_desktop,web,UK->NG,p2p_transfer,1208,0,1,10,32.8,3921.0,5,1,none,0
166738,0.894982,0.323715,2.524431,-0.75691,0.109199,1.722695,-1.230966,-1.551583,-0.179682,0.758503,1.758476,1.421498,1.616421,-1.017701,-0.206768,2.31955,0.294954,-0.446669,-0.617829,-0.936084,0.038214,-0.821584,0.160381,-0.992036,0.397937,-0.560832,0.699343,-0.57061,12.59,42145,web_mobile,web,US->PH,p2p_transfer,1287,0,0,6,33.1,26682.0,8,1,none,0
113781,-0.101127,-0.585247,-0.79986,-0.287291,0.615346,1.553523,1.247678,0.129299,1.992386,0.973743,-0.975464,0.516069,0.981192,1.994381,0.836488,-0.660126,-0.602079,0.609692,-0.672742,-0.401428,0.99715,0.833966,0.766641,0.543925,0.851035,0.49036,0.715087,-1.005325,48.4,31827,web_mobile,web,AU->PH,p2p_transfer,101,0,0,11,187.1,16768.0,9,1,none,0
145843,0.146784,0.030203,-1.597446,-0.05367,0.186206,-0.058974,-1.545292,-0.509793,0.690976,-0.74443,-0.326654,-0.294113,-0.537778,0.211993,2.519854,0.546889,0.169214,0.483281,0.116812,1.428905,1.868567,1.29524,-1.098899,-0.739806,-0.325329,0.216962,1.431255,-0.527601,10.36,18734,ios_app,app,US->PH,airtime_topup,190,0,0,11,19.4,8532.0,8,1,none,0
122167,0.81995,0.230472,0.07228,-0.201563,-0.080017,-0.723715,-0.551682,0.692284,-1.570039,1.765581,0.791054,-1.568381,0.604014,0.203413,0.413812,0.651619,0.942579,-0.436659,-0.235353,0.13746,1.371951,-0.35608,-2.026213,0.097538,0.173481,-1.248555,0.433314,0.67563,17.76,22710,android_app,app,US->MX,airtime_topup,322,0,0,15,95.7,59636.0,3,1,none,0
124419,-1.263832,-0.037633,-1.623591,0.771478,0.73143,-1.335592,2.44356,2.595031,0.613573,0.183967,0.628531,-0.551516,0.33861,2.172592,0.253051,1.678295,-1.732762,-0.763754,-0.262379,-0.449223,-0.700079,0.21427,0.593961,-0.197344,-1.30234,-0.71011,-1.934014,0.397208,18.42,26655,web_mobile,web,US->GT,airtime_topup,875,0,0,8,67.2,999999.0,1,1,none,0
40662,0.501693,2.821615,0.401778,-1.164024,0.822829,1.830181,0.187384,1.396692,-1.379662,-0.981885,-1.839883,0.139932,-0.805591,-1.592134,0.568595,1.482542,0.792859,-0.315592,-0.085042,-0.861274,-0.29781,-1.158584,-0.617043,0.676177,-0.343304,0.916141,-1.161859,-0.824391,11.07,3251,web_mobile,web,US->IN,bank_deposit,1261,0,0,9,36.9,35859.0,2,1,none,0
142506,-0.137375,0.656074,0.172165,1.648933,1.362871,1.111617,-0.038485,0.773956,-0.760499,-1.461973,0.838084,0.577207,0.05026,0.381328,-1.58442,1.718015,0.174817,0.212977,0.762966,-1.200676,0.964282,-1.23224,0.822847,0.285332,1.304887,1.090298,0.079756,0.908561,29.92,30735,android_app,app,US->GT,cash_pickup,155,0,0,8,82.1,23104.0,8,1,none,0
166636,0.173394,-0.362367,-1.311742,-0.905627,-0.64472,0.532776,-0.618221,0.541899,0.445344,-0.257229,-0.898669,-0.574978,-0.056346,1.635815,-1.215694,-0.737467,-1.897366,-0.067881,-0.749791,-1.262199,-0.857613,0.282397,-0.025742,2.005559,-0.790966,0.138139,1.236562,0.44461,17.79,35425,web_mobile,web,US->GT,p2p_transfer,777,0,0,15,82.2,8722.0,6,1,none,0
150115,-0.173623,0.161495,0.520104,-0.662142,-0.084786,1.035573,1.515261,0.625696,0.144618,1.529324,0.735307,0.326498,-0.31437,1.087196,0.16485,0.240865,0.707357,1.545269,-1.661643,0.985427,0.752079,0.414669,-1.378796,0.654392,0.151212,1.285608,-1.389286,-0.87919,63.7,34331,web_mobile,web,US->PH,cash_pickup,369,0,0,5,134.5,1305.0,12,2,none,0
109781,-0.348442,-0.781449,0.290996,-0.592504,-0.64549,1.118976,0.610761,1.187415,0.652465,0.533875,1.420116,0.372383,2.666202,-1.310468,-0.814113,-0.744491,1.832038,-0.1195,2.180165,1.693024,1.046682,-0.666795,0.502053,-0.476336,0.784081,-1.017836,0.583869,-0.019428,7.46,31086,web_desktop,web,CA->IN,p2p_transfer,997,0,0,11,53.7,29402.0,5,1,none,0
28596,-0.55815,1.337753,-1.093314,1.081537,0.324615,-1.123682,-0.276263,-0.010754,0.078364,-0.773173,-0.252287,-1.498329,1.719678,-1.116059,0.188851,1.087847,0.291638,0.000367,1.481913,0.784082,-0.75944,0.462765,1.675498,-0.850903,-0.356835,-0.250704,0.151134,0.18872,27.36,36895,web_desktop,web,US->GT,bank_deposit,337,0,0,6,34.8,5016.0,2,1,none,0
100867,0.331053,-0.140626,0.6698,-2.433083,1.612717,0.623625,0.033855,-0.20244,0.083909,0.908397,1.493583,-0.971111,-0.250696,2.08335,0.650416,-0.667302,-1.737201,-0.244964,-0.161425,-1.789302,-0.472027,-0.911731,1.045359,-0.138358,-2.188851,1.243893,0.598739,-0.033934,32.26,2818,web_mobile,web,US->GT,airtime_topup,1126,0,0,14,47.5,18198.0,3,1,none,0
64486,-0.050395,-0.29917,0.979084,0.016626,-0.761346,-0.538843,0.426494,-0.966062,-1.104626,0.417671,-0.473573,0.119106,0.232877,0.361464,-0.040187,0.303276,0.742909,-0.219111,1.017599,-1.350233,-0.776847,-1.083902,1.869965,2.085476,-0.546862,1.646754,-2.049104,-0.122837,10.5,33556,web_mobile,web,AU->PH,p2p_transfer,998,0,0,3,46.9,494.0,3,2,none,0
108972,-0.208859,-0.261998,0.105208,-1.825119,0.514879,1.57792,0.469704,-0.660308,-1.363171,-0.644879,-0.865554,0.614166,-0.428199,-0.781453,0.370928,-1.339802,-0.622101,-0.212288,-0.456279,-1.334231,0.787631,-1.067065,2.344346,0.418998,-1.09962,0.403043,0.241799,-0.064382,31.92,7077,ios_app,app,US->IN,cash_pickup,974,0,0,6,43.5,28600.0,8,1,none,0
115297,0.756393,-0.182504,0.511698,-1.081392,-0.57657,-0.761865,0.27058,-1.660119,-0.768958,-1.214911,-1.697682,-0.643524,0.284602,-1.533302,-0.092876,0.990469,-0.571685,-0.126446,1.035574,0.688994,0.728859,0.852364,-3.030559,0.792801,2.721485,-0.650475,-0.365257,0.598804,22.9,375,android_app,app,US->MX,airtime_topup,710,0,0,8,87.6,1476.0,4,2,none,0
57595,-0.698838,-0.380571,1.448515,-0.280065,-0.041406,-0.369096,0.951517,0.633397,-1.489002,0.325378,0.306742,-0.665456,0.801632,-1.234915,1.774247,0.016711,0.727659,0.219528,0.70982,-0.774131,0.252163,-1.458625,0.085633,1.348779,1.239764,1.048065,0.064757,1.680256,17.82,36642,ios_app,app,US->PH,airtime_topup,1215,0,0,8,131.1,999999.0,1,1,none,0
122846,-1.119294,-0.611532,1.27016,0.63201,-1.039314,0.659122,-0.129406,-0.369795,0.068913,-0.954767,-0.72359,-0.640826,0.152803,0.510832,0.48009,-1.085236,-0.490278,-0.895236,0.052054,-0.057076,0.390468,-0.400901,0.390562,-0.21161,0.342516,-0.335838,0.612312,-0.073079,30.29,45143,web_desktop,web,UK->NG,cash_pickup,964,0,0,14,102.3,69657.0,5,1,none,0
161653,0.614715,0.254001,-1.347461,-2.056847,-0.330232,-0.106164,1.281834,1.232277,0.119482,0.542016,-0.56815,-1.670961,0.533432,0.334869,0.375828,0.815549,-2.070794,-0.530041,-2.277505,0.467046,0.307792,0.400132,0.655357,0.394344,1.176486,1.733648,-2.869269,0.355816,28.89,37019,web_desktop,web,US->GT,bank_deposit,1245,0,0,13,55.7,32921.0,4,1,none,0
153481,3.187899,0.032811,-0.311446,-0.617651,-0.00284,0.144975,-0.314694,0.610034,0.242593,-0.790951,1.039355,0.335827,-0.722342,0.311136,0.847946,-1.142598,1.582256,1.407237,1.674058,-1.000155,0.400834,0.354432,0.900693,-0.70949,-0.745143,-0.76042,-0.413984,-0.435278,29.72,20235,android_app,app,AU->PH,airtime_topup,925,0,0,9,33.5,4307.0,7,1,none,0
64953,-1.007175,-0.857038,-1.266365,0.790211,1.180369,1.054956,-1.616144,2.319842,1.007903,1.194528,-0.034599,1.034963,0.340628,0.323544,-0.513278,0.160026,0.647962,-1.304646,1.374488,1.288447,0.137106,0.237711,-1.190369,-1.998141,-0.046856,-0.901765,0.622114,-0.478925,11.45,24993,web_desktop,web,US->PH,bill_pay,1104,0,0,9,141.1,25159.0,4,1,none,0
83713,-0.513728,0.966367,-0.49044,-0.381508,0.553603,-0.220694,1.771528,1.271952,-0.218135,0.56087,0.516507,0.195675,-0.800631,0.412184,-1.110361,0.931883,-1.144948,0.154496,0.80706,-0.49618,0.203575,0.87463,0.237847,-0.691347,-1.296245,-0.793154,-1.494894,0.490885,18.31,9201,web_desktop,web,US->IN,p2p_transfer,143,1,0,11,28.8,40625.0,5,1,none,0
127326,0.14024,-1.170365,0.433081,1.176281,0.741037,0.663449,0.298453,0.247258,0.431265,2.182643,-0.061144,-0.835502,0.2489,0.130885,-0.524062,0.649822,1.864637,1.11927,0.504832,0.449489,1.35004,0.470472,0.144224,1.192677,-1.325973,1.092831,-1.021328,-0.769472,26.91,19822,ios_app,app,AU->PH,cash_pickup,469,0,0,15,41.6,36281.0,6,1,none,0
98562,-0.4602,1.468066,-1.280935,1.275773,-0.279299,-1.512415,1.367447,-0.563464,0.421182,0.751328,-1.012404,-0.612851,-0.49428,-1.65575,1.299652,0.214735,-0.728857,0.003153,-0.373519,0.054729,0.079866,1.157235,-0.462835,-0.773936,-2.325772,-0.299739,0.784649,1.040652,10.65,44471,web_desktop,app,US->PH,airtime_topup,1169,1,0,8,31.2,74282.0,2,1,none,0
145840,-0.469099,1.117952,1.742263,1.082133,0.562722,0.579915,1.956549,-1.601798,-0.859076,-1.6642,1.519044,-1.186171,0.409097,-1.789015,-0.412239,0.022074,-0.972151,1.117603,-0.058376,0.052053,-0.034586,-1.880156,-1.47869,0.168137,-0.6281,-0.964569,0.322382,0.615936,6.61,42369,ios_app,app,UK->NG,bill_pay,557,0,0,12,81.4,64697.0,3,1,none,0
2192,0.763457,-0.754079,-0.691169,-0.297818,0.416655,1.821743,-1.9219,-0.414807,1.371629,0.954455,-0.769391,0.50224,-0.267332,0.247377,-0.583892,-0.306223,-0.962907,-0.871878,0.608919,1.316026,0.234934,-2.52854,-0.610417,0.485652,3.120049,1.368998,-1.503261,-0.364603,8.12,1005,web_desktop,web,AU->PH,p2p_transfer,1337,0,0,9,141.7,999999.0,1,1,none,0
25872,-1.063661,-1.079779,-0.311249,0.153226,1.613381,0.279491,0.300832,-1.034575,-0.664784,-0.210927,-0.146272,-0.22489,0.044331,2.129326,0.599496,-0.672234,-0.357022,-2.481911,-0.180538,-1.639746,-0.888523,-0.120168,1.253404,0.137869,-0.103216,2.573535,0.741665,-1.789463,9.35,37705,android_app,app,US->MX,p2p_transfer,1164,0,0,11,66.9,999999.0,1,1,none,0
89767,-1.859307,0.135999,1.355899,-0.925108,0.072609,-0.433016,-0.930975,-2.002137,0.654703,0.345808,1.436076,2.707106,-0.743448,-0.784722,-0.106657,-1.123284,1.323478,0.215568,-2.149802,1.587092,0.582287,-0.095718,-2.86066,-1.71932,-0.427117,0.354805,-0.649728,1.193237,9.78,37021,android_app,web,US->PH,p2p_transfer,1066,1,0,16,55.9,4202.0,4,1,none,0
48115,0.20649,-1.873784,-0.910195,0.752771,-0.987862,0.066937,0.347431,-0.310708,-0.923858,-0.076741,0.960971,0.475725,0.412699,1.691,0.255396,-0.37796,0.149951,-0.00092,1.048095,-0.717866,-1.034923,0.34883,-2.63561,-0.204058,0.841734,0.281002,-0.478974,-0.489498,739.72,13393,android_app,app,US->NG,cash_pickup,709,0,0,13,64.8,22773.0,3,1,none,0
82289,0.818966,0.441742,-1.328232,-0.488129,0.107984,0.628671,-0.034029,0.17084,0.182582,0.028864,-1.023129,-0.451962,0.934628,0.287661,-0.254685,1.578497,0.896757,-0.499886,-0.444912,0.572725,-1.915853,-1.73429,-2.344259,0.278704,0.034742,0.349355,0.2658,-1.85501,129.72,36577,web_mobile,web,US->IN,bank_deposit,15,0,0,9,202.0,2381.0,4,2,none,0
160407,-1.533785,-0.945894,-0.414759,0.585515,0.550244,-0.708834,-0.531834,-0.756625,0.478304,-2.136718,0.674408,-0.64985,0.869979,1.10873,-0.249559,-1.488307,0.531428,0.257495,1.016458,-1.070439,-0.029448,-0.198494,1.95616,-0.38049,0.853549,-0.358317,1.236237,-1.800363,10.08,4597,web_mobile,app,US->NG,p2p_transfer,198,1,0,7,87.2,18755.0,4,1,none,0
12298,1.099502,0.162141,1.93873,0.928103,-0.199742,-2.090528,-0.765744,-0.108916,-0.337967,-0.262202,-1.085878,1.422376,1.207537,1.684747,-0.507104,0.044762,-0.785781,0.897285,-1.020434,-1.250309,0.117608,0.279407,1.569788,0.092362,1.18381,-0.823375,-0.355969,-0.664616,31.1,31181,web_desktop,web,US->GT,p2p_transfer,285,0,0,9,119.8,999999.0,1,1,none,0
66327,0.979288,0.630087,-0.775401,-1.027218,-0.174083,1.513118,-1.599934,0.852135,1.16634,-0.05924,-0.624832,-1.534428,0.441286,0.195979,-0.207592,0.387445,-0.823865,0.059418,-0.29263,0.878777,1.065927,0.457439,-2.03354,-0.678305,-0.860126,-0.283429,-0.72626,1.410644,24.03,37212,android_app,app,CA->IN,airtime_topup,271,0,1,10,130.5,7810.0,2,1,none,0
75309,-1.936886,-0.021151,-0.786393,1.882789,-0.499042,-0.367912,-0.08623,1.81032,-0.454276,0.003466,-0.410586,-0.018308,-0.25508,-0.482654,-0.06135,0.292146,1.077883,-0.003284,0.185802,0.907471,1.013507,1.652509,-0.292594,1.601774,-1.36837,-0.17899,0.007504,0.577906,36.09,15512,ios_app,app,US->MX,p2p_transfer,1185,0,0,11,7.4,999999.0,1,1,none,0
40541,1.203504,-0.095598,-0.26509,-0.331166,0.374673,-0.148966,-0.510626,0.224313,-0.84723,-0.526967,1.852488,0.515841,-0.005628,1.157099,0.930728,0.246039,-0.473603,-2.14287,-0.413079,1.536047,-1.307698,0.737144,-1.120684,-1.540409,-0.778317,0.332668,-0.675366,0.115766,917.14,38795,web_desktop,web,US->GT,p2p_transfer,718,0,0,13,52.8,23144.0,2,1,none,0
100597,-0.74041,-0.494047,-1.264747,-1.42539,0.312111,-0.113775,-0.288965,-1.442395,0.570465,0.154883,-0.23659,-0.241886,0.337457,-0.90722,-0.24905,-0.110293,-0.235866,-1.308147,0.685122,0.971098,-0.708403,0.20328,0.390794,-0.71822,-0.116148,-1.506288,-0.252371,0.062238,53.19,33273,web_mobile,web,US->MX,cash_pickup,1153,0,0,8,78.4,2076.0,7,2,none,0
162235,-0.348647,-0.486177,1.204511,-1.530454,-1.000414,-0.735367,-0.624553,-0.789609,-1.026311,-2.503565,0.388781,1.246244,-1.250883,-1.575037,0.018504,1.250264,-0.214549,-1.630467,-1.678082,0.317027,-0.139531,0.800169,-0.95373,-0.316867,-0.927367,0.290365,-0.189556,1.30315,23.6,8325,web_mobile,web,US->NG,p2p_transfer,1111,0,0,12,117.5,10381.0,7,1,none,0
82512,0.40567,1.480378,-0.32568,-0.117616,-0.913719,-1.693191,2.869044,0.66682,3.036198,0.495505,0.504432,-1.499035,0.424254,-1.242056,0.231419,0.959769,-1.231678,-1.169162,-1.867703,-0.011797,-1.702736,0.520826,1.666443,0.465237,0.386581,-0.21823,0.218454,0.631098,9.49,44312,ios_app,app,CA->IN,cash_pickup,908,0,0,12,121.8,551.0,4,2,none,0
140190,-0.245537,-0.004805,0.818539,-0.490305,0.475052,1.012647,0.249336,0.712349,1.04439,0.583499,0.195316,-0.199223,1.755638,0.729709,0.675497,0.858455,-0.68489,-0.54978,2.433061,1.605994,-0.307119,-1.721041,-1.574749,0.976422,2.51831,-0.535387,0.789792,1.234351,70.36,36015,web_mobile,web,US->MX,bank_deposit,670,0,1,6,160.4,16457.0,5,1,none,0
112409,0.806852,2.66152,-0.508972,1.122108,1.156184,0.598139,-0.598508,-0.068256,-0.229572,0.17697,0.984572,-0.529859,0.811125,0.913184,1.014658,0.346592,-0.558173,-0.706234,0.675276,-1.44067,-0.970594,1.253385,0.196414,0.691248,-1.829978,-0.004064,-0.018957,-0.528242,51.61,33838,web_desktop,web,CA->IN,p2p_transfer,20,0,0,12,27.3,32002.0,6,1,none,0
